,wave,telluric
994,6259.94,1.0
995,6259.95,1.0
996,6259.96,1.0
997,6259.97,1.0
998,6259.98,1.0
999,6259.99,1.0
1000,6260.0,1.0
1001,6260.01,1.0
1002,6260.02,1.0
1003,6260.03,1.0
1004,6260.04,1.0
1005,6260.05,1.0
1006,6260.06,1.0
1007,6260.07,1.0
1008,6260.08,1.0
1009,6260.09,1.0
1010,6260.1,1.0
1011,6260.11,1.0
1012,6260.12,1.0
1013,6260.13,1.0
1014,6260.14,1.0
1015,6260.15,1.0
1016,6260.16,1.0
1017,6260.17,1.0
1018,6260.18,1.0
1019,6260.19,1.0
1020,6260.2,1.0
1021,6260.21,1.0
1022,6260.22,1.0
1023,6260.23,1.0
1024,6260.24,1.0
1025,6260.25,1.0
1026,6260.26,1.0
1027,6260.27,1.0
1028,6260.28,1.0
1029,6260.29,1.0
1030,6260.3,1.0
1031,6260.31,1.0
1032,6260.32,1.0
1033,6260.33,1.0
1034,6260.34,1.0
1035,6260.35,1.0
1036,6260.36,1.0
1037,6260.37,1.0
1038,6260.38,1.0
1039,6260.39,1.0
1040,6260.4,1.0
1041,6260.41,1.0
1042,6260.42,1.0
1043,6260.43,1.0
1044,6260.44,1.0
1045,6260.45,1.0
1046,6260.46,1.0
1047,6260.47,1.0
1048,6260.48,1.0
1049,6260.49,1.0
1050,6260.5,1.0
1051,6260.51,1.0
1052,6260.52,1.0
1053,6260.53,1.0
1054,6260.54,1.0
1055,6260.55,1.0
1056,6260.56,1.0
1057,6260.57,1.0
1058,6260.58,1.0
1059,6260.59,1.0
1060,6260.6,1.0
1061,6260.61,1.0
1062,6260.62,1.0
1063,6260.63,1.0
1064,6260.64,1.0
1065,6260.65,1.0
1066,6260.66,1.0
1067,6260.67,1.0
1068,6260.68,1.0
1069,6260.69,1.0
1070,6260.7,1.0
1071,6260.71,1.0
1072,6260.72,1.0
1073,6260.73,1.0
1074,6260.74,1.0
1075,6260.75,1.0
1076,6260.76,1.0
1077,6260.77,1.0
1078,6260.78,1.0
1079,6260.79,1.0
1080,6260.8,1.0
1081,6260.81,1.0
1082,6260.82,1.0
1083,6260.83,1.0
1084,6260.84,1.0
1085,6260.85,1.0
1086,6260.86,1.0
1087,6260.87,1.0
1088,6260.88,1.0
1089,6260.89,1.0
1090,6260.9,1.0
1091,6260.91,1.0
1092,6260.92,1.0
1093,6260.93,1.0
1094,6260.94,1.0
1095,6260.95,1.0
1096,6260.96,1.0
1097,6260.97,1.0
1098,6260.98,1.0
1099,6260.99,1.0
1100,6261.0,1.0
1101,6261.01,1.0
1102,6261.02,1.0
1103,6261.03,1.0
1104,6261.04,1.0
1105,6261.05,1.0
1106,6261.06,1.0
1107,6261.07,1.0
1108,6261.08,1.0
1109,6261.09,1.0
1110,6261.1,1.0
1111,6261.11,1.0
1112,6261.12,1.0
1113,6261.13,1.0
1114,6261.14,1.0
1115,6261.15,1.0
1116,6261.16,1.0
1117,6261.17,1.0
1118,6261.18,1.0
1119,6261.19,1.0
1120,6261.2,1.0
1121,6261.21,1.0
1122,6261.22,1.0
1123,6261.23,1.0
1124,6261.24,1.0
1125,6261.25,1.0
1126,6261.26,1.0
1127,6261.27,1.0
1128,6261.28,1.0
1129,6261.29,1.0
1130,6261.3,1.0
1131,6261.31,1.0
1132,6261.32,1.0
1133,6261.33,1.0
1134,6261.34,1.0
1135,6261.35,1.0
1136,6261.36,1.0
1137,6261.37,1.0
1138,6261.38,1.0
1139,6261.39,1.0
1140,6261.4,1.0
1141,6261.41,1.0
1142,6261.42,1.0
1143,6261.43,1.0
1144,6261.44,1.0
1145,6261.45,1.0
1146,6261.46,1.0
1147,6261.47,1.0
1148,6261.48,1.0
1149,6261.49,1.0
1150,6261.5,1.0
1151,6261.51,1.0
1152,6261.52,1.0
1153,6261.53,1.0
1154,6261.54,1.0
1155,6261.55,1.0
1156,6261.56,1.0
1157,6261.57,1.0
1158,6261.58,1.0
1159,6261.59,1.0
1160,6261.6,1.0
1161,6261.61,1.0
1162,6261.62,1.0
1163,6261.63,1.0
1164,6261.64,1.0
1165,6261.65,1.0
1166,6261.66,1.0
1167,6261.67,1.0
1168,6261.68,1.0
1169,6261.69,1.0
1170,6261.7,1.0
1171,6261.71,1.0
1172,6261.72,1.0
1173,6261.73,1.0
1174,6261.74,1.0
1175,6261.75,1.0
1176,6261.76,1.0
1177,6261.77,1.0
1178,6261.78,1.0
1179,6261.79,1.0
1180,6261.8,1.0
1181,6261.81,1.0
1182,6261.82,1.0
1183,6261.83,1.0
1184,6261.84,1.0
1185,6261.85,1.0
1186,6261.86,1.0
1187,6261.87,1.0
1188,6261.88,1.0
1189,6261.89,1.0
1190,6261.9,1.0
1191,6261.91,1.0
1192,6261.92,1.0
1193,6261.93,1.0
1194,6261.94,1.0
1195,6261.95,1.0
1196,6261.96,1.0
1197,6261.97,1.0
1198,6261.98,1.0
1199,6261.99,1.0
1200,6262.0,1.0
1201,6262.01,1.0
1202,6262.02,1.0
1203,6262.03,1.0
1204,6262.04,1.0
1205,6262.05,1.0
1206,6262.06,1.0
1207,6262.07,1.0
1208,6262.08,1.0
1209,6262.09,1.0
1210,6262.1,1.0
1211,6262.11,1.0
1212,6262.12,1.0
1213,6262.13,1.0
1214,6262.14,1.0
1215,6262.15,1.0
1216,6262.16,1.0
1217,6262.17,1.0
1218,6262.18,1.0
1219,6262.19,1.0
1220,6262.2,1.0
1221,6262.21,1.0
1222,6262.22,1.0
1223,6262.23,1.0
1224,6262.24,1.0
1225,6262.25,1.0
1226,6262.26,1.0
1227,6262.27,1.0
1228,6262.28,1.0
1229,6262.29,1.0
1230,6262.3,1.0
1231,6262.31,1.0
1232,6262.32,1.0
1233,6262.33,1.0
1234,6262.34,1.0
1235,6262.35,1.0
1236,6262.36,1.0
1237,6262.37,1.0
1238,6262.38,1.0
1239,6262.39,1.0
1240,6262.4,1.0
1241,6262.41,1.0
1242,6262.42,1.0
1243,6262.43,1.0
1244,6262.44,1.0
1245,6262.45,1.0
