,HARPN,CORALIE14,ESPRESSO19,HARPS03,HARPS15,VSINI,ESPRESSO18,CORALIE07,CORALIE98,SOPHIE,SOPHIE-HE
115,8.883350806784502,9.529254475943915,9.481052543139278,8.895743278745304,8.917624032134697,5.5769230769230775,9.481052543139278,9.529254475943915,9.529254475943915,9.529254475943915,10.035020193623293
116,8.940059826428534,9.573581310151464,9.544497720430943,8.95005192190733,8.971890452114756,5.625418060200669,9.544497720430943,9.573581310151464,9.573581310151464,9.573581310151464,10.071666219783625
117,8.996793429292019,9.618202011346693,9.608208580478069,9.004504876421365,9.02631289600989,5.673913043478261,9.608208580478069,9.618202011346693,9.618202011346693,9.618202011346693,10.108609302197811
118,9.053580119603325,9.663114132704813,9.672140787516556,9.05911769999326,9.080907751647125,5.722408026755853,9.672140787516556,9.663114132704813,9.663114132704813,9.663114132704813,10.145847961470194
119,9.110448401590816,9.708315230540707,9.736250005782338,9.113905950328856,9.135691406853502,5.770903010033445,9.736250005782338,9.708315230540707,9.708315230540707,9.708315230540707,10.183380701472869
120,9.167426779482874,9.753802864490002,9.800491899511316,9.168885185134,9.190680249456063,5.819397993311037,9.800491899511316,9.753802864490002,9.753802864490002,9.753802864490002,10.22120600959361
121,9.22454375750786,9.799574597641396,9.864822132939413,9.224070962114538,9.245890667281842,5.867892976588629,9.864822132939413,9.799574597641396,9.799574597641396,9.799574597641396,10.259322356953163
122,9.281827839894143,9.845627996621351,9.929196370302538,9.279478838976312,9.301339048157876,5.9163879598662215,9.929196370302538,9.845627996621351,9.845627996621351,9.845627996621351,10.297728198592056
123,9.3393075308701,9.891960631632076,9.993570275836609,9.335124373425172,9.357041779911205,5.964882943143813,9.993570275836609,9.891960631632076,9.891960631632076,9.891960631632076,10.336421973626948
124,9.397011151920374,9.93857007644383,10.057899775297209,9.391023005457164,9.41301509575539,6.013377926421405,10.057899775297209,9.93857007644383,9.93857007644383,9.93857007644383,10.375402105376672
125,9.454949676367724,9.9854539083426,10.12216562093066,9.447179000683908,9.469260551193155,6.061872909698997,10.12216562093066,9.9854539083426,9.9854539083426,9.9854539083426,10.414667001458099
126,9.513102684161268,10.032609708034084,10.186393491201189,9.50357640346086,9.525753140823312,6.110367892976589,10.186393491201189,10.032609708034084,10.032609708034084,10.032609708034084,10.454215053851916
